VariableName,VariableType,VariableNewName
Ce_A_T_CONC_HIVOL_pmol_m_3_,double,Ce
QV_SEADATANET_56,double,Ce_flag
Pr_A_T_CONC_HIVOL_pmol_m_3_,double,Pr
QV_SEADATANET_57,double,Pr_flag
Nd_A_T_CONC_HIVOL_pmol_m_3_,double,Nd
QV_SEADATANET_58,double,Nd_flag
Sm_A_T_CONC_HIVOL_pmol_m_3_,double,Sm
QV_SEADATANET_59,double,Sm_flag
Eu_A_T_CONC_HIVOL_pmol_m_3_,double,Eu
QV_SEADATANET_60,double,Eu_flag
Gd_A_T_CONC_HIVOL_pmol_m_3_,double,Gd
QV_SEADATANET_61,double,Gd_flag
Tb_A_T_CONC_HIVOL_pmol_m_3_,double,Tb
QV_SEADATANET_62,double,Tb_flag
Dy_A_T_CONC_HIVOL_pmol_m_3_,double,Dy
QV_SEADATANET_63,double,Dy_flag
Ho_A_T_CONC_HIVOL_pmol_m_3_,double,Ho
QV_SEADATANET_64,double,Ho_flag
Er_A_T_CONC_HIVOL_pmol_m_3_,double,Er
QV_SEADATANET_65,double,Er_flag
Tm_A_T_CONC_HIVOL_pmol_m_3_,double,Tm
QV_SEADATANET_66,double,Tm_flag
Yb_A_T_CONC_HIVOL_pmol_m_3_,double,Yb
QV_SEADATANET_67,double,Yb_flag
Lu_A_T_CONC_HIVOL_pmol_m_3_,double,Lu
QV_SEADATANET_68,double,Lu_flag
Al_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_69,double,
Ba_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_70,double,
Cd_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_71,double,
Co_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_72,double,
Cl_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_73,double,
Cr_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_74,double,
Cu_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_75,double,
Fe_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_76,double,
Li_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_77,double,
Mg_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_78,double,
Mn_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_79,double,
Na_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_80,double,
Ni_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_81,double,
NO3_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
QV_SEADATANET_82,double,
Pb_A_SMLH2O_CONC_HIVOL_pmol_m_3_,double,
